id,name,type,tactics,description,severity,cvss_score,cvss_vector
T1388,TTP-564,TTP,persistence,Adversaries may perform malicious activity related to TTP 564.,medium,,
CVE-2024-3069,CVE-565,CVE,execution,Critical vulnerability in software 565 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2021-6588,CVE-566,CVE,privilege-escalation,Critical vulnerability in software 566 allowing remote exploitation.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T6226,TTP-567,TTP,impact,Adversaries may perform malicious activity related to TTP 567.,high,,
T6465,TTP-568,TTP,impact,Adversaries may perform malicious activity related to TTP 568.,critical,,
CVE-2021-7469,CVE-569,CVE,initial-access,Critical vulnerability in software 569 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-8617,CVE-570,CVE,execution,Critical vulnerability in software 570 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2020-5200,CVE-571,CVE,initial-access,Critical vulnerability in software 571 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T2310,TTP-572,TTP,execution,Adversaries may perform malicious activity related to TTP 572.,medium,,
T8056,TTP-573,TTP,execution,Adversaries may perform malicious activity related to TTP 573.,critical,,
T5498,TTP-574,TTP,persistence,Adversaries may perform malicious activity related to TTP 574.,medium,,
T2129,TTP-575,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 575.,critical,,
CVE-2025-6656,CVE-576,CVE,initial-access,Critical vulnerability in software 576 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T3175,TTP-577,TTP,discovery,Adversaries may perform malicious activity related to TTP 577.,critical,,
CVE-2022-3331,CVE-578,CVE,execution,Critical vulnerability in software 578 allowing remote exploitation.,high,7.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-8031,CVE-579,CVE,initial-access,Critical vulnerability in software 579 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2022-4658,CVE-580,CVE,privilege-escalation,Critical vulnerability in software 580 allowing remote exploitation.,high,7.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-2338,CVE-581,CVE,privilege-escalation,Critical vulnerability in software 581 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-6930,CVE-582,CVE,execution,Critical vulnerability in software 582 allowing remote exploitation.,critical,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T3984,TTP-583,TTP,impact,Adversaries may perform malicious activity related to TTP 583.,medium,,
T9258,TTP-584,TTP,persistence,Adversaries may perform malicious activity related to TTP 584.,critical,,
CVE-2024-3662,CVE-585,CVE,privilege-escalation,Critical vulnerability in software 585 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2023-2623,CVE-586,CVE,execution,Critical vulnerability in software 586 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2020-3947,CVE-587,CVE,privilege-escalation,Critical vulnerability in software 587 allowing remote exploitation.,critical,8.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2023-3301,CVE-588,CVE,execution,Critical vulnerability in software 588 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2023-8882,CVE-589,CVE,initial-access,Critical vulnerability in software 589 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2021-2927,CVE-590,CVE,privilege-escalation,Critical vulnerability in software 590 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T7820,TTP-591,TTP,impact,Adversaries may perform malicious activity related to TTP 591.,medium,,
T9570,TTP-592,TTP,persistence,Adversaries may perform malicious activity related to TTP 592.,critical,,
CVE-2025-7136,CVE-593,CVE,initial-access,Critical vulnerability in software 593 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T8864,TTP-594,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 594.,medium,,
CVE-2023-7120,CVE-595,CVE,initial-access,Critical vulnerability in software 595 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2022-3628,CVE-596,CVE,initial-access,Critical vulnerability in software 596 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2024-7370,CVE-597,CVE,execution,Critical vulnerability in software 597 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T1807,TTP-598,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 598.,critical,,
CVE-2025-5291,CVE-599,CVE,privilege-escalation,Critical vulnerability in software 599 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T3016,TTP-600,TTP,impact,Adversaries may perform malicious activity related to TTP 600.,high,,
T7934,TTP-601,TTP,persistence,Adversaries may perform malicious activity related to TTP 601.,critical,,
CVE-2020-8730,CVE-602,CVE,initial-access,Critical vulnerability in software 602 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T8359,TTP-603,TTP,discovery,Adversaries may perform malicious activity related to TTP 603.,high,,
CVE-2024-2119,CVE-604,CVE,initial-access,Critical vulnerability in software 604 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T3268,TTP-605,TTP,impact,Adversaries may perform malicious activity related to TTP 605.,medium,,
CVE-2023-5303,CVE-606,CVE,initial-access,Critical vulnerability in software 606 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T6379,TTP-607,TTP,discovery,Adversaries may perform malicious activity related to TTP 607.,critical,,
T9576,TTP-608,TTP,impact,Adversaries may perform malicious activity related to TTP 608.,high,,
T7862,TTP-609,TTP,discovery,Adversaries may perform malicious activity related to TTP 609.,medium,,
CVE-2023-7289,CVE-610,CVE,initial-access,Critical vulnerability in software 610 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T5316,TTP-611,TTP,execution,Adversaries may perform malicious activity related to TTP 611.,medium,,
CVE-2020-9074,CVE-612,CVE,execution,Critical vulnerability in software 612 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2024-2124,CVE-613,CVE,privilege-escalation,Critical vulnerability in software 613 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2025-8849,CVE-614,CVE,execution,Critical vulnerability in software 614 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T3953,TTP-615,TTP,persistence,Adversaries may perform malicious activity related to TTP 615.,high,,
T1917,TTP-616,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 616.,high,,
CVE-2024-3602,CVE-617,CVE,initial-access,Critical vulnerability in software 617 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-6119,CVE-618,CVE,execution,Critical vulnerability in software 618 allowing remote exploitation.,high,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T1101,TTP-619,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 619.,critical,,
CVE-2023-4076,CVE-620,CVE,initial-access,Critical vulnerability in software 620 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T1044,TTP-621,TTP,discovery,Adversaries may perform malicious activity related to TTP 621.,critical,,
CVE-2020-5970,CVE-622,CVE,initial-access,Critical vulnerability in software 622 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T2067,TTP-623,TTP,discovery,Adversaries may perform malicious activity related to TTP 623.,medium,,
CVE-2020-3818,CVE-624,CVE,privilege-escalation,Critical vulnerability in software 624 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T5102,TTP-625,TTP,discovery,Adversaries may perform malicious activity related to TTP 625.,high,,
CVE-2021-5065,CVE-626,CVE,initial-access,Critical vulnerability in software 626 allowing remote exploitation.,high,8.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T8086,TTP-627,TTP,persistence,Adversaries may perform malicious activity related to TTP 627.,medium,,
CVE-2021-7045,CVE-628,CVE,initial-access,Critical vulnerability in software 628 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T6827,TTP-629,TTP,impact,Adversaries may perform malicious activity related to TTP 629.,medium,,
T9592,TTP-630,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 630.,critical,,
CVE-2025-5154,CVE-631,CVE,privilege-escalation,Critical vulnerability in software 631 allowing remote exploitation.,high,8.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2024-5807,CVE-632,CVE,initial-access,Critical vulnerability in software 632 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T7721,TTP-633,TTP,execution,Adversaries may perform malicious activity related to TTP 633.,medium,,
T2766,TTP-634,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 634.,medium,,
CVE-2021-1503,CVE-635,CVE,initial-access,Critical vulnerability in software 635 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T6816,TTP-636,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 636.,critical,,
T3343,TTP-637,TTP,execution,Adversaries may perform malicious activity related to TTP 637.,medium,,
CVE-2024-2350,CVE-638,CVE,privilege-escalation,Critical vulnerability in software 638 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T3845,TTP-639,TTP,persistence,Adversaries may perform malicious activity related to TTP 639.,critical,,
T2435,TTP-640,TTP,discovery,Adversaries may perform malicious activity related to TTP 640.,high,,
CVE-2024-2800,CVE-641,CVE,execution,Critical vulnerability in software 641 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T4666,TTP-642,TTP,execution,Adversaries may perform malicious activity related to TTP 642.,high,,
CVE-2021-6908,CVE-643,CVE,execution,Critical vulnerability in software 643 allowing remote exploitation.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T7781,TTP-644,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 644.,medium,,
T9855,TTP-645,TTP,discovery,Adversaries may perform malicious activity related to TTP 645.,medium,,
T5070,TTP-646,TTP,impact,Adversaries may perform malicious activity related to TTP 646.,critical,,
CVE-2024-8848,CVE-647,CVE,execution,Critical vulnerability in software 647 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2024-1362,CVE-648,CVE,initial-access,Critical vulnerability in software 648 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-2288,CVE-649,CVE,execution,Critical vulnerability in software 649 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T3300,TTP-650,TTP,execution,Adversaries may perform malicious activity related to TTP 650.,high,,
CVE-2025-4068,CVE-651,CVE,initial-access,Critical vulnerability in software 651 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2023-1618,CVE-652,CVE,privilege-escalation,Critical vulnerability in software 652 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-5237,CVE-653,CVE,execution,Critical vulnerability in software 653 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T8517,TTP-654,TTP,persistence,Adversaries may perform malicious activity related to TTP 654.,high,,
T7652,TTP-655,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 655.,critical,,
T8179,TTP-656,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 656.,high,,
CVE-2025-9189,CVE-657,CVE,execution,Critical vulnerability in software 657 allowing remote exploitation.,critical,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T6355,TTP-658,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 658.,high,,
T4970,TTP-659,TTP,impact,Adversaries may perform malicious activity related to TTP 659.,high,,
T2712,TTP-660,TTP,persistence,Adversaries may perform malicious activity related to TTP 660.,medium,,
T1377,TTP-661,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 661.,critical,,
CVE-2020-8062,CVE-662,CVE,privilege-escalation,Critical vulnerability in software 662 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T2310,TTP-663,TTP,persistence,Adversaries may perform malicious activity related to TTP 663.,medium,,
CVE-2025-2184,CVE-664,CVE,execution,Critical vulnerability in software 664 allowing remote exploitation.,critical,7.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T5263,TTP-665,TTP,discovery,Adversaries may perform malicious activity related to TTP 665.,medium,,
T1523,TTP-666,TTP,discovery,Adversaries may perform malicious activity related to TTP 666.,medium,,
T7048,TTP-667,TTP,persistence,Adversaries may perform malicious activity related to TTP 667.,high,,
CVE-2021-4377,CVE-668,CVE,initial-access,Critical vulnerability in software 668 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2025-9502,CVE-669,CVE,execution,Critical vulnerability in software 669 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-5379,CVE-670,CVE,privilege-escalation,Critical vulnerability in software 670 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T1640,TTP-671,TTP,execution,Adversaries may perform malicious activity related to TTP 671.,medium,,
T3631,TTP-672,TTP,execution,Adversaries may perform malicious activity related to TTP 672.,medium,,
T6952,TTP-673,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 673.,critical,,
CVE-2020-1863,CVE-674,CVE,privilege-escalation,Critical vulnerability in software 674 allowing remote exploitation.,high,9.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2020-8074,CVE-675,CVE,privilege-escalation,Critical vulnerability in software 675 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-8754,CVE-676,CVE,privilege-escalation,Critical vulnerability in software 676 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T3625,TTP-677,TTP,execution,Adversaries may perform malicious activity related to TTP 677.,high,,
CVE-2024-1576,CVE-678,CVE,initial-access,Critical vulnerability in software 678 allowing remote exploitation.,high,8.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T1773,TTP-679,TTP,execution,Adversaries may perform malicious activity related to TTP 679.,medium,,
T8605,TTP-680,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 680.,critical,,
CVE-2021-4737,CVE-681,CVE,privilege-escalation,Critical vulnerability in software 681 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T6606,TTP-682,TTP,execution,Adversaries may perform malicious activity related to TTP 682.,medium,,
T3608,TTP-683,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 683.,critical,,
CVE-2021-6548,CVE-684,CVE,initial-access,Critical vulnerability in software 684 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-6897,CVE-685,CVE,execution,Critical vulnerability in software 685 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8036,TTP-686,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 686.,medium,,
CVE-2024-2174,CVE-687,CVE,privilege-escalation,Critical vulnerability in software 687 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-1412,CVE-688,CVE,initial-access,Critical vulnerability in software 688 allowing remote exploitation.,critical,8.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T5358,TTP-689,TTP,execution,Adversaries may perform malicious activity related to TTP 689.,high,,
CVE-2022-4953,CVE-690,CVE,privilege-escalation,Critical vulnerability in software 690 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2022-7512,CVE-691,CVE,execution,Critical vulnerability in software 691 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-4695,CVE-692,CVE,execution,Critical vulnerability in software 692 allowing remote exploitation.,high,7.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-1089,CVE-693,CVE,initial-access,Critical vulnerability in software 693 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-7814,CVE-694,CVE,execution,Critical vulnerability in software 694 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T4501,TTP-695,TTP,discovery,Adversaries may perform malicious activity related to TTP 695.,high,,
CVE-2023-2599,CVE-696,CVE,initial-access,Critical vulnerability in software 696 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-6843,CVE-697,CVE,execution,Critical vulnerability in software 697 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-3286,CVE-698,CVE,initial-access,Critical vulnerability in software 698 allowing remote exploitation.,high,9.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T2571,TTP-699,TTP,discovery,Adversaries may perform malicious activity related to TTP 699.,high,,
T4414,TTP-700,TTP,discovery,Adversaries may perform malicious activity related to TTP 700.,medium,,
T3639,TTP-701,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 701.,medium,,
CVE-2022-2940,CVE-702,CVE,execution,Critical vulnerability in software 702 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-9558,CVE-703,CVE,execution,Critical vulnerability in software 703 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-4249,CVE-704,CVE,privilege-escalation,Critical vulnerability in software 704 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T7071,TTP-705,TTP,persistence,Adversaries may perform malicious activity related to TTP 705.,high,,
T2234,TTP-706,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 706.,critical,,
CVE-2020-7895,CVE-707,CVE,initial-access,Critical vulnerability in software 707 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T8813,TTP-708,TTP,persistence,Adversaries may perform malicious activity related to TTP 708.,high,,
CVE-2020-7359,CVE-709,CVE,privilege-escalation,Critical vulnerability in software 709 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2021-9112,CVE-710,CVE,execution,Critical vulnerability in software 710 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-4792,CVE-711,CVE,privilege-escalation,Critical vulnerability in software 711 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T6218,TTP-712,TTP,execution,Adversaries may perform malicious activity related to TTP 712.,high,,
CVE-2023-4102,CVE-713,CVE,privilege-escalation,Critical vulnerability in software 713 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8563,TTP-714,TTP,impact,Adversaries may perform malicious activity related to TTP 714.,critical,,
CVE-2020-4544,CVE-715,CVE,privilege-escalation,Critical vulnerability in software 715 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T5619,TTP-716,TTP,discovery,Adversaries may perform malicious activity related to TTP 716.,critical,,
T1056,TTP-717,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 717.,critical,,
T1654,TTP-718,TTP,persistence,Adversaries may perform malicious activity related to TTP 718.,medium,,
CVE-2025-9974,CVE-719,CVE,privilege-escalation,Critical vulnerability in software 719 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T4902,TTP-720,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 720.,high,,
T5950,TTP-721,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 721.,high,,
T1264,TTP-722,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 722.,critical,,
CVE-2023-7441,CVE-723,CVE,privilege-escalation,Critical vulnerability in software 723 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T6584,TTP-724,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 724.,critical,,
T1517,TTP-725,TTP,execution,Adversaries may perform malicious activity related to TTP 725.,high,,
T3743,TTP-726,TTP,persistence,Adversaries may perform malicious activity related to TTP 726.,high,,
T3856,TTP-727,TTP,discovery,Adversaries may perform malicious activity related to TTP 727.,high,,
CVE-2023-2593,CVE-728,CVE,execution,Critical vulnerability in software 728 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-8871,CVE-729,CVE,execution,Critical vulnerability in software 729 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2020-3311,CVE-730,CVE,privilege-escalation,Critical vulnerability in software 730 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T5363,TTP-731,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 731.,critical,,
CVE-2025-4347,CVE-732,CVE,privilege-escalation,Critical vulnerability in software 732 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2020-8366,CVE-733,CVE,initial-access,Critical vulnerability in software 733 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T3561,TTP-734,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 734.,critical,,
T5569,TTP-735,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 735.,high,,
T5804,TTP-736,TTP,persistence,Adversaries may perform malicious activity related to TTP 736.,medium,,
CVE-2022-7604,CVE-737,CVE,privilege-escalation,Critical vulnerability in software 737 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2021-5939,CVE-738,CVE,initial-access,Critical vulnerability in software 738 allowing remote exploitation.,critical,8.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2022-2624,CVE-739,CVE,privilege-escalation,Critical vulnerability in software 739 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T9816,TTP-740,TTP,discovery,Adversaries may perform malicious activity related to TTP 740.,critical,,
CVE-2022-2570,CVE-741,CVE,initial-access,Critical vulnerability in software 741 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-1264,CVE-742,CVE,execution,Critical vulnerability in software 742 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2023-6230,CVE-743,CVE,execution,Critical vulnerability in software 743 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-7762,CVE-744,CVE,privilege-escalation,Critical vulnerability in software 744 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-9346,CVE-745,CVE,privilege-escalation,Critical vulnerability in software 745 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2020-4520,CVE-746,CVE,execution,Critical vulnerability in software 746 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2022-7231,CVE-747,CVE,initial-access,Critical vulnerability in software 747 allowing remote exploitation.,high,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-6236,CVE-748,CVE,execution,Critical vulnerability in software 748 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T4052,TTP-749,TTP,execution,Adversaries may perform malicious activity related to TTP 749.,medium,,
T6837,TTP-750,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 750.,medium,,
T5900,TTP-751,TTP,discovery,Adversaries may perform malicious activity related to TTP 751.,critical,,
